FID,IZ11CD,IZ11NM
208,S02001393,Tullibody South
209,S02001394,Tullibody North and Glenochil
210,S02001395,Menstrie
211,S02001396,Alva
212,S02001397,"Fishcross, Devon Village and Coalsnaughton"
213,S02001398,Tillicoultry
214,S02001399,Dollar and Muckhart
215,S02001400,"Clackmannan, Kennet and Forestmill"
216,S02001401,Sauchie
217,S02001402,Alloa South and East
218,S02001403,Alloa North
219,S02001404,Alloa West
220,S02001405,Stranraer West
221,S02001406,Stranraer East
222,S02001407,Stranraer South
223,S02001408,Rhins North
224,S02001409,Rhins South
225,S02001486,Northern and Irvine Valley Rural
226,S02001410,Machars North
227,S02001411,Machars South
228,S02001412,Newton Stewart
229,S02001413,Gatehouse
230,S02001414,Kirkcudbright
231,S02001415,Castle Douglas
232,S02001416,Dalbeattie
233,S02001417,Dalbeattie Rural
234,S02001418,Glenkens
235,S02001419,Upper Nithsdale
236,S02001420,Thornhill
237,S02001421,Mid Nithsdale
238,S02001422,Shawhead
239,S02001423,Lochside and Lincluden
240,S02001424,Summerville
241,S02001425,Troqueer
242,S02001426,New Abbey
243,S02001427,Kingholm
244,S02001428,Calside
245,S02001429,Georgetown
246,S02001430,Dumfries Central
247,S02001431,Nunholm
248,S02001432,Locharbriggs
249,S02001433,Heathhall
250,S02001434,Collin
251,S02001435,Lochmaben
252,S02001286,Aboyne and South Deeside
253,S02001487,Stewarton East
254,S02001287,Mearns and Laurencekirk
255,S02001488,Stewarton West
256,S02001288,Mearns South and Benholm
257,S02001489,Darvel
258,S02001289,Mearns North and Inverbervie
259,S02001490,Newmilns
260,S02001290,"Fetteresso, Netherley and Catter"
261,S02001491,Galston
262,S02001291,Stonehaven South
263,S02001492,Earlston and Hurlford Rural
264,S02001292,Stonehaven North
265,S02001493,Shortlees
266,S02001293,Newtonhill
267,S02001494,Bellfield and Kirkstyle
268,S02001294,Portlethen
269,S02001495,Kilmarnock South Central and Caprington
270,S02001295,Banchory-Devenick and Findon
271,S02001496,Piersland
272,S02001296,"Dunecht, Durris and Drumoak"
273,S02001497,New Farm Loch South
274,S02001297,Banchory East
275,S02001498,Dean and New Farm Loch North
276,S02001298,Banchory West
277,S02001499,Southcraig and Beansburn
278,S02001299,Crathes and Torphins
279,S02001500,Altonhill North and Onthank
280,S02001300,Cromar and Kildrummy
281,S02001501,"Altonhill South, Longpark and Hillhead"
282,S02001301,Howe of Alford
283,S02001502,Bonnyton and Town Centre
284,S02001302,Kemnay
285,S02001503,"Grange, Howard and Gargieston"
286,S02001303,Inverurie North
287,S02001504,"Crosshouse, Gatehead and Kilmaurs Rural"
288,S02001304,Inverurie South
289,S02001505,Kilmaurs
290,S02001305,Durno-Chapel of Garioch
291,S02001506,West Clober and Mains Estate
292,S02001306,Kintore
293,S02001507,East Clober and Mains Estate
294,S02001586,Broomhouse and Bankhead
295,S02001307,Blackburn
296,S02001508,Barloch
297,S02001587,Stenhouse and Saughton Mains
298,S02001308,Westhill North and South
299,S02001509,Keystone and Dougalston
300,S02001588,Longstone and Saughton
301,S02001309,Westhill Central
302,S02001310,Garlogie and Elrick
303,S02001311,Newmachar and Fintray
304,S02001312,Balmedie and Potterton
305,S02001313,Ellon East
306,S02001314,Ellon West
307,S02001315,Ythanside
308,S02001316,Ythsie
309,S02001317,Barrahill
310,S02001318,Fyvie-Rothie
311,S02001319,"Insch, Oyne and Ythanwells"
312,S02001320,Clashindarroch
313,S02001321,Huntly
314,S02001322,Auchterless and Monquhitter
315,S02001323,Turriff
316,S02001324,"Portsoy, Fordyce and Cornhill"
317,S02001325,Aberchirder and Whitehills
318,S02001326,Banff
319,S02001327,Macduff
320,S02001328,Gardenstown and King Edward
321,S02001329,New Pitsligo
322,S02001330,Deer and Mormond
323,S02001331,Mintlaw
324,S02001332,Auchnagatt
325,S02001333,Cruden
326,S02001334,Peterhead Links
327,S02001335,Peterhead Bay
328,S02001510,Kilmardinny East
329,S02001589,Slateford and Chesser
330,S02001511,Kilmardinny West
331,S02001590,Gorgie West
332,S02001512,North Castlehill and Thorn
333,S02001591,Gorgie East
334,S02001513,South Castlehill and Thorn
335,S02001592,Shandon
336,S02001514,Westerton West
337,S02001593,Craiglockhart
338,S02001515,Westerton East
339,S02001594,Morningside and Craighouse
340,S02001516,Kessington West
341,S02001595,Greenbank and The Braids
342,S02001517,Kessington East
343,S02001596,Colinton Mains and Firrhill
344,S02001518,Torrance and Balmore
345,S02001597,Oxgangs
346,S02001519,Bishopbriggs North and Kenmure
347,S02001598,Comiston and Swanston
348,S02001520,Bishopbriggs West and Cadder
349,S02001599,Fairmilehead
350,S02001521,Auchinairn
351,S02001600,Gilmerton South and the Murrays
352,S02001522,Woodhill East
353,S02001601,Mortonhall and Anwickhill
354,S02001523,Woodhill West
355,S02001602,"Gracemount, Southhouse and Burdiehouse"
356,S02001524,Lenzie North
357,S02001603,Hyvots and Gilmerton
358,S02001525,Lenzie South
359,S02001604,Fernieside and Moredun South
360,S02001526,Kirkintilloch South
361,S02001605,Moredun and Craigour
