"","msoa","index"
"320","E02006509",320
"321","E02006755",321
"322","E02006515",322
"323","E02006510",323
"324","E02006758",324
"325","E02001863",325
"326","E02006706",326
"327","E02006707",327
"328","E02006708",328
"329","E02006748",329
"330","E02006754",330
"331","E02006705",331
"332","E02006702",332
"333","E02002035",333
"334","E02002025",334
"335","E02002042",335
"336","E02002033",336
"337","E02002029",337
"338","E02002038",338
"339","E02002077",339
"340","E02002032",340
"341","E02002031",341
"342","E02002080",342
"343","E02002019",343
"344","E02002067",344
"345","E02002017",345
"346","E02002075",346
"347","E02002069",347
"348","E02002079",348
"349","E02002072",349
"350","E02002071",350
"351","E02002064",351
"352","E02002070",352
"353","E02002073",353
"354","E02002078",354
"355","E02002074",355
"356","E02002066",356
"357","E02002063",357
"358","E02002060",358
"359","E02002058",359
"360","E02002055",360
"361","E02002052",361
"362","E02002059",362
"363","E02002061",363
"364","E02002044",364
"365","E02001835",365
"366","E02001832",366
"367","E02002141",367
"368","E02002137",368
"369","E02001829",369
"370","E02006156",370
"371","E02002131",371
"372","E02001827",372
"373","E02006157",373
"374","E02001831",374
"375","E02001838",375
"376","E02001847",376
"377","E02006221",377
"378","E02006220",378
"379","E02006225",379
"380","E02006222",380
"381","E02006469",381
"382","E02006223",382
"383","E02006219",383
"384","E02006226",384
"385","E02006224",385
"386","E02006218",386
"387","E02006468",387
"388","E02006153",388
"389","E02006217",389
"390","E02005408",390
"391","E02001877",391
"392","E02001874",392
"393","E02006506",393
"394","E02006729",394
"395","E02006721",395
"396","E02006808",396
"397","E02002109",397
"398","E02002103",398
"399","E02002098",399
"400","E02002102",400
"401","E02002107",401
"402","E02002104",402
"403","E02002099",403
"404","E02002096",404
"405","E02002095",405
"406","E02002106",406
"407","E02002097",407
"408","E02002105",408
"409","E02002092",409
"410","E02006522",410
"411","E02002108",411
"412","E02006505",412
"413","E02006733",413
"414","E02006724",414
"415","E02006726",415
"416","E02006731",416
"417","E02006728",417
"418","E02006723",418
"419","E02006732",419
"420","E02006725",420
"421","E02006727",421
"422","E02006730",422
"423","E02006722",423
"424","E02002991",424
"425","E02002993",425
"426","E02002989",426
"427","E02003001",427
"428","E02002996",428
"429","E02002994",429
"430","E02006681",430
"431","E02002997",431
"432","E02003002",432
"433","E02002992",433
"434","E02002995",434
"435","E02002990",435
"436","E02002988",436
"437","E02003113",437
"438","E02006075",438
"439","E02006079",439
"440","E02006056",440
"441","E02006059",441
"442","E02006050",442
"443","E02006053",443
"444","E02006047",444
"445","E02006049",445
"446","E02006690",446
"447","E02006048",447
"448","E02006689",448
"449","E02006692",449
"450","E02006695",450
"451","E02006693",451
"452","E02006694",452
"453","E02006669",453
"454","E02006665",454
"455","E02006691",455
"456","E02006688",456
"457","E02006684",457
"458","E02006687",458
"459","E02006686",459
"460","E02006685",460
"461","E02006683",461
"462","E02006679",462
"463","E02006682",463
"464","E02006060",464
"465","E02006058",465
"466","E02006057",466
"467","E02003000",467
"468","E02003006",468
"469","E02002998",469
"470","E02002999",470
"471","E02003003",471
"472","E02006090",472
"473","E02006089",473
"474","E02006086",474
"475","E02006088",475
"476","E02006092",476
"477","E02006094",477
"478","E02006087",478
"479","E02006085",479
"480","E02006091",480
"481","E02006080",481
"482","E02004270",482
"483","E02006076",483
"484","E02006083",484
"485","E02004271",485
"486","E02003009",486
"487","E02003011",487
"488","E02003008",488
"489","E02006052",489
"490","E02003007",490
"491","E02003010",491
"492","E02003005",492
"493","E02006055",493
"494","E02006051",494
"495","E02006054",495
"496","E02006063",496
"497","E02006061",497
"498","E02006072",498
"499","E02006082",499
"500","E02004258",500
"501","E02004256",501
"502","E02002622",502
"503","E02002620",503
"504","E02002621",504
"505","E02002625",505
"506","E02005220",506
"507","E02002632",507
"508","E02005284",508
"509","E02002617",509
"510","E02005214",510
"511","E02002615",511
"512","E02005212",512
"513","E02005277",513
"514","E02002618",514
"515","E02002616",515
"516","E02005178",516
"517","E02005182",517
"518","E02005177",518
"519","E02005176",519
"520","E02005184",520
"521","E02005252",521
"522","E02005183",522
"523","E02005251",523
"524","E02005185",524
"525","E02006881",525
"526","E02005186",526
"527","E02005181",527
"528","E02005180",528
"529","E02005179",529
"530","E02005274",530
"531","E02005247",531
"532","E02005241",532
"533","E02005240",533
"534","E02005242",534
"535","E02005748",535
"536","E02005245",536
"537","E02002619",537
"538","E02002623",538
"539","E02002624",539
"540","E02002626",540
"541","E02002627",541
"542","E02005190",542
"543","E02005288",543
"544","E02002628",544
"545","E02002630",545
"546","E02002629",546
"547","E02002631",547
"548","E02005281",548
"549","E02005279",549
"550","E02005285",550
"551","E02006884",551
"552","E02005278",552
"553","E02005217",553
"554","E02005216",554
"555","E02005218",555
"556","E02005219",556
"557","E02005215",557
"558","E02005213",558
"559","E02005276",559
"560","E02005270",560
"561","E02005271",561
"562","E02005272",562
"563","E02005273",563
"564","E02005244",564
