"X","Y","",""
560784.65267001,247853.529911167,62263.0052083461,-41104.8777928642
423943.736013012,196322.605003191,66089.4169669746,-87151.1004775927
408135.559929,144760.929559765,41954.1856733428,33004.9144904206
374469.794663932,115377.249278704,23729.8893622261,18799.5555835748
672740.441837641,402077.234079599,101508.248017877,117766.920120147
689483.434473868,352601.3447965,52022.1136592084,223892.947161029
482991.896942519,317311.87878925,58219.5712457193,-36056.5065055062
426424.98132162,145491.933463357,-37184.092086154,340656.576594867
517553.473932496,289055.313900526,13142.4352940704,-96270.9818639509
608009.736440442,210878.034033324,78976.6263160455,106298.991495229
406342.459727779,153842.640157589,-22665.306019072,44536.3130952387
340216.137080901,318055.687315196,3451.18558973545,72482.2892724653
442563.196519873,229005.032470025,61200.2288699479,25828.5547423633
570071.448949674,331068.434750255,122817.055806433,69838.7242028131
616685.816757902,220267.536652827,-5308.56417161124,103446.579979684
378244.607256902,291275.326617406,-4045.17778128458,-80807.4837849696
481517.955369437,386484.935248849,175723.678827979,-47217.9327784768
492451.168002381,273828.875157739,-42327.8043607987,16512.3382984739
490041.514021347,288934.129514342,-3113.62310211918,48935.1895148914
397004.637884796,272049.275035946,-32752.9905665402,-86902.61744745
420215.541259674,246217.426534067,11539.0527057329,-67616.0001266085
516352.204219373,319148.156319234,-63621.8037959666,-70809.587945291
324477.165107497,224175.868330866,-152163.555471666,504437.944765603
349052.760176495,329150.493084161,58478.7660441915,-4540.49060107837
332538.030141732,283488.313506123,-388930.180140022,883830.668222532
588951.560899008,391082.709643595,95024.8263441509,232220.837953533
475361.918503621,216916.803866671,10662.8011692302,43389.78022109
529019.621653878,150870.671762126,60760.6477210595,-18603.4621867104
488129.522857049,266336.509589417,21226.2322159595,-92378.2622953786
487702.989322672,347178.74878261,24311.798958742,279205.762810299
624908.433007,314751.563863477,133552.633679356,136648.269049607
496721.046552756,332958.733126931,-3694.26208917153,-121790.538387634
500018.359662329,373246.900917833,61322.6822037899,-30042.4765886267
395611.825634896,399210.404171621,-64952.4581394091,-89043.8154964479
488781.111830608,291168.038111812,-3855.37105638997,33616.6520314247
492334.280776433,303017.805916751,58749.8370962887,-83873.7026993013
546218.850385235,390735.738119175,33775.575422351,27570.8559732402
348342.690367109,466901.920612669,-67813.2732650302,240485.501863625
482619.273451197,373069.938600918,-89414.712335149,-73891.9900594213
572411.519108622,325675.769448127,59845.1886210606,149321.418321596
582713.245521747,337432.004258401,79362.5868227713,15379.5149814929
401160.246323903,286740.623466253,39408.1599655068,-32027.2886480525
389698.709435448,334426.533910159,92333.0362819668,-87122.5102974959
500000.947302314,309112.714266705,-714.546891643666,159070.96471896
488108.554931532,262967.079473865,39377.4682462505,-82574.3864246426
461873.416956683,273955.32798189,27250.1419354054,-42139.0055075134
444833.247100624,316349.969042417,27385.0743474972,-86490.0591513799
465268.383010876,311301.095773006,3194.60860699601,-82422.6257755839
459655.004324044,344476.069816667,-103187.975347754,-94374.7055590707
427588.486851061,330429.884956807,19773.6817734888,-50599.2734454766
451304.723318221,235787.895182129,17677.0037622172,-70524.8811126325
339188.818179133,288018.015355774,-53.1648926351045,8038.89392229397
421917.092210456,320262.657043895,-101223.234176908,-127113.179742377
351378.386033559,330586.15743531,-91803.396796016,-50207.5255609106
400224.291005862,334756.966021229,-97582.6574526344,6033.9900338703
355134.386418791,362759.936715251,-65525.865765899,-97472.6808415258
447718.108987991,378331.304800891,-92272.632742531,-117349.788301711
447867.348187984,376572.751587629,20295.3336213121,176790.995586727
556867.806966846,339901.554137786,68098.7427581711,385767.63262918
481084.753718522,368598.740538315,-20124.6470979846,27833.9410319599
467902.150156184,402267.89417494,-135729.242471846,1854.4451480211
517722.586494938,385388.857166338,48467.1387314159,244141.29330711
628989.459006907,388431.482283126,61024.0258309292,182180.730064075
477032.686629494,347845.28404022,-69685.7231638109,179351.930284286
393876.587016128,269368.152550418,105690.270267848,-25103.5578130852
427701.458880984,348176.432607312,-17669.2212765699,-14242.7255347098
261919.193191931,173164.098023929,-268979.589690028,746306.275961878
356752.555546281,321295.451084301,18912.3880401502,-56662.0882403619
464171.258704167,380095.472761761,25128.7913685678,166238.515530205
584186.792872252,323292.847347978,158853.287323134,39622.8925910347
417330.055166817,204959.968627795,-222867.572222581,622090.270790942
474588.62074149,416516.954735857,-71441.0717400393,-20782.1962211877
445557.933803035,383133.308111745,-89736.1040284216,-73989.7502468472
531779.282512876,420185.508222905,130902.727022614,192345.405804779
457045.400344309,354888.350954069,-55221.8382115213,-107770.049840128
416045.238961599,354572.311430563,53759.8438333982,-29996.2519773009
497421.840302205,377145.461653333,-70693.9819855046,-70496.3421674398
524063.47258846,259545.883656817,43691.3192629301,46772.5266520835
478557.071934586,345927.090673441,-15573.7340944724,-108152.398604273
455263.921675404,297650.881169947,104149.006180377,-116375.085975854
437763.915941074,319577.57580654,-66395.3007433242,-135638.51015085
458728.428424135,353724.535579884,60835.5993185039,83216.1968426306
462553.759084881,291131.610326882,79068.6341420309,-54397.2184174777
383298.155505698,286996.578798825,58467.6727369314,-13932.1964725938
474272.050870695,284800.062207918,3976.03018459148,-11131.547330083
379208.155843587,436637.367157005,-137742.809337441,693918.241162903
534263.40899959,293435.900082229,25465.7750726781,420905.167046833
539889.169404391,268309.15741191,57925.623429271,7109.46457941562
295760.74364931,169514.789656437,-102266.123080744,356137.408852757
497847.308701389,319367.320746627,-44951.7357296309,-70441.6275316249
368926.064249187,253808.744905284,51084.1946625604,5913.12798691218
336392.894626527,85224.2484709043,-25433.7409931441,27715.2924362025
326285.220520826,62008.3636407085,-7757.28447824276,-31839.3615203976
475252.806729945,226314.32763034,5256.14595648593,-63320.8977627405
405135.334520949,211627.986251075,-44852.6956547838,-128116.08666801
466595.887102628,219302.948609649,68440.8493944938,61094.7261924453
344873.601193999,246846.949988815,52107.6616942128,-68061.7729983037
350601.056827909,232203.849979256,-408752.83411462,846646.804897017
543647.301803454,158312.032808537,90965.1215603009,90346.0509839397
563080.835388252,177542.466964206,64749.3007856893,37712.9509114399
573170.179035228,202176.000861008,67753.313176105,74642.7988207306
408466.215834931,147644.236673162,76380.9064767711,-37756.097474162
493164.485140661,405834.5769123,18112.4658385222,121583.400028842
506735.480918579,285054.662184067,106484.355141622,274664.707964956
377873.510125479,224137.368041578,-70944.5053742898,-71430.5393789208
349573.238900082,292132.432763247,-37704.2649015342,-21263.6250278373
322327.23845059,254285.125180988,26776.8582043641,-9110.29879402957
240159.51690951,354800.300028404,9668.77934538899,-39919.7325997399
437206.872033684,327666.965087641,-58432.1761579456,-54449.4566947941
341831.612348807,311548.476459549,-39335.8058837691,-55605.5014332151
389067.640314907,298156.877477566,-150078.155071273,668405.170088088
425430.894121051,282964.153559075,-42147.3409503975,-92946.99922287
377418.213877049,225138.394204652,108758.580143059,1488.28107021237
370243.757765724,243378.652986274,-486155.431186783,936778.759651607
280553.256666484,185573.436801443,-436.35505455354,300631.809641139
413730.979901856,222247.174824393,32149.8620431817,-34320.4934825728
321668.397432053,335737.467146602,-253602.199807143,541612.097853659
439344.905911435,254446.328785027,-55323.639053173,-77722.0316416813
465425.407061601,326367.190183429,-88427.1012103879,-112519.221738349
371954.774937194,270121.134376383,63079.1828324873,98475.5188143138
399937.625974501,379516.698975975,-21234.7608996192,-20362.5758126837
523394.314618346,43111.1860075276,19967.5119819332,356654.874777992
500734.022738156,163302.436459418,43338.6000437227,96237.3057803612
434328.236294694,251355.435378626,21769.9982900871,-82245.2623151513
581283.529678163,375406.897140465,76397.8245711408,190188.726128236
330857.936878538,354519.525292731,-61562.923538671,51444.9194068227
135306.674538867,244168.820821777,124545.55669246,-55226.8119974676
457718.973335787,343835.054894986,-74470.5452070415,-152548.360413224
424206.18043744,320566.431725403,-88856.7992464472,-99706.1827373319
444634.318529989,306015.489828853,-20763.0689776155,-96206.2777758002
417664.983237367,359230.196276358,-61264.9669795192,-37541.4108194325
475730.996691689,308001.019187652,62520.5072955335,-124268.687402212
408766.956003908,318388.693614657,4025.89989838774,182348.090385594
578181.907186889,224531.858272477,56712.5437681525,12921.0405530668
454920.828008716,273925.191821691,89476.1607104503,-119347.64911891
486885.605538697,385422.77172448,-64387.5969669082,-80145.7698391013
281777.795228274,428181.086956685,132489.363612081,105359.993269079
341029.7732362,445254.027981165,145896.209831739,20611.7553824043
386869.291272594,423481.567537434,117858.870386795,-55367.697175286
445223.180141458,428651.961365318,-35142.252409672,-81266.7746758978
412118.418583438,485856.777921842,-10781.2679044073,-56221.5543356395
63456.8992592876,824769.635710023,235265.03173095,166299.354295859
350208.406302538,438153.780206793,144982.232383714,91518.0242772397
404619.678079115,505380.48351621,58811.0193861626,-59127.8517187619
195402.544545486,448888.137469705,-224937.717239456,742297.836889197
289738.053401707,615710.976668057,155820.130587942,185936.529181388
415596.906477962,389938.98402315,-46598.2422455057,-22180.4363602279
335086.145532856,495741.900818685,83604.0129305583,43271.6913399592
439521.155178178,411935.696367635,3393.38689507142,-99007.3706634444
115387.770905924,403581.746872445,-382008.97235419,968880.265074578
394966.393018706,414011.037323684,20720.0489097493,-119015.242107068
346193.514704215,467256.232160646,91778.2275243816,-66592.9738415971
157154.172606404,528216.785411497,72622.4155956267,93652.9543765111
401630.32719407,439675.247422296,107051.610914202,-62056.2691259684
363561.147344253,505307.524361293,12732.3281139741,30228.7579028637
432031.186054589,403376.518019935,-70878.4722256499,-125493.744818608
283844.238624474,412687.800240946,135706.583737925,-24016.1559515676
-39133.7723427549,489216.999066179,41396.1731004833,135813.332727056
295758.462984435,573929.223419889,110482.353571527,393045.219879254
447250.487068278,557525.780878591,109292.852151801,17124.6109291678
392534.332109996,413232.629224941,37156.0146666337,-98052.8142894902
372024.96225173,424728.084452396,-60568.2611671149,-88810.208269763
394184.281441808,508587.325765091,59089.5946091848,-78704.7425881115
421343.529161822,349547.559841576,-80090.4186685704,-125148.267808296
387549.273062624,315639.259230528,18820.7687452194,-97527.9367561366
404853.947998024,460794.115698951,-55358.4674383514,-112365.542822692
334211.952058188,399528.86517084,5668.83740996155,64203.4791938211
387355.11687792,510344.304717884,-43589.9725851792,-91746.0092855577
436966.810917477,391266.994144328,-83608.0324967402,-111498.173392108
609626.253626987,353033.238866992,32511.4329443961,-2630.97205415377
459112.698754448,287818.17820675,110621.840201756,-118770.222383504
487046.806425843,285437.476118089,-56541.714413577,20760.8724219924
473109.91214063,305415.341400765,-58941.1797788574,-73290.6570137912
494625.916800899,324907.630425288,23484.751862455,-3580.84800567976
498041.151244247,205863.248471936,75520.1188268364,-18927.6865618908
515079.616921294,366652.357569944,-3083.24967624691,-38253.8240501089
556355.196401386,255438.759718144,58567.1778061715,291217.667194106
480264.625266247,356645.955193727,123189.25426425,-100539.771335134
435494.303838059,215353.841764772,-88494.9754575347,25702.1103259889
419361.499132568,350720.503382417,-51605.1433558392,-122320.553392458
414334.084410356,310378.214372691,61348.6431826134,-105172.881489035
413321.161963081,354686.098558811,43067.6233596166,-112345.130299698
443525.992677518,293715.778796683,37711.6306180794,-57804.8469189219
346153.050244458,291463.662528163,-81072.8537748096,-93594.5912901201
474103.862492184,300476.897775864,118132.467192463,-67355.0310184025
419269.504255432,327699.760889013,-26163.6044899523,-100740.74294097
395199.647140446,295616.044783951,54694.472535038,-100972.614129002
426907.70805944,323938.308784995,-36972.3899882814,-93622.2942833975
417537.910655486,306052.016373004,-89475.0588855398,-103771.974269677
355488.096870278,273481.386026689,21342.5488856543,22513.3420103945
401956.391517707,183191.752287536,63697.463569562,-11209.1418427379
295306.428825654,133751.702972478,-82497.9124519545,429907.602931396
434385.688826124,245697.774626421,81218.4540463092,25804.6038057497
383488.706229297,254949.340695368,110045.495102507,-130664.485221452
429302.325775063,239799.626731288,134985.767877179,-117178.639541454
329976.489027954,138344.449077911,-39218.7361691058,-44884.3324934456
354796.311339337,259925.915344361,3451.68485029758,-40848.2986878409
212921.195559801,257074.418037248,-24634.9426213505,-98935.8746117291
495035.802594674,296154.477697906,-8188.89863070725,-108603.059072872
494681.527259613,333585.063176396,-6547.16882971743,-104890.866645348
462642.091749083,322141.657659517,-92381.8593012871,-140821.475754921
445567.108095504,346036.368560663,-65876.1014613559,-86073.7078412692
504203.317947022,368839.334348196,121361.773031427,87805.7089421727
451395.135721777,470690.130425594,58975.6046890755,65480.8774984697
456578.857712842,485519.237244536,-102302.049804452,58931.317186427
379061.719897735,353771.283544528,24891.5607998121,-93923.4239816261
459426.634232164,349734.48381315,28965.140021188,-109049.027226165
426561.706330929,314219.564576239,65725.6764536451,36046.5584386135
412971.476193219,511936.724253677,59885.0436086227,417292.631207517
457019.846886912,355400.429153367,10522.1044199884,311241.732423685
438517.249015008,326344.159040794,13839.4187227739,-12421.0167909749
374006.189008626,376503.428145097,42066.5494527375,31839.8769245475
400676.520648766,218450.580555338,117369.471039682,28120.0913504486
436333.373080597,196124.75217366,50951.0565555788,-87784.1458502647
473655.129504814,322972.319630467,-53943.8867241034,-119468.840064559
422322.838524083,221080.050067899,17757.9420572024,-103562.382908219
461329.164083907,263093.683185103,77420.7282910622,34868.4528907036
432520.94017182,302524.389614231,-20378.7449726223,-85644.4184358864
466415.868036207,316712.702339132,120952.592657522,21710.6033908772
474088.030771805,377983.311781861,32719.0138303866,305082.394014706
546071.682008582,364372.304975862,49562.0856261482,-6941.82117074321
466572.539086652,369027.243270555,-67343.373543245,-713.280591545685
617752.029006824,173999.932629318,131300.802097898,135340.872399993
437085.739350361,189164.269844949,-28782.3220287105,-12315.6494560321
482579.882198805,246070.228708452,24191.9521834811,-58802.2972460681
456980.771078171,278566.216914097,56108.0390219102,-63268.1946351312
494319.748731047,213207.957824688,78937.8141200609,-44588.5248900038
480943.981261522,316509.42233917,-37171.2084509093,148.926406156243
465228.488969667,306223.482646641,-75957.7086534665,-105162.794346726
449353.76423287,286843.288296298,30113.7190461009,-62570.1044118091
442455.044805119,269025.055966585,-73766.0688182904,-95161.8718734056
444892.604988799,339588.436191192,-7574.95014807151,-102605.916068076
428024.10148288,288797.101167835,-53356.5267401869,-112736.57152356
593220.327076887,270112.696533394,107551.519576771,58536.3704836264
572542.556374423,334882.282977544,26508.9136443329,-24398.4871952712
523614.364406788,187228.185407537,135625.46256117,51964.6436374448
577929.876218661,211433.412023835,117637.974115903,112377.971237899
398988.225058188,196655.007228795,2291.12878877341,-123584.539533096
628536.064006888,387293.857266598,136118.003981215,-26077.3059881072
506296.770221735,349471.193131272,-41298.8889990179,-109940.384412465
436059.238719098,289392.07101375,40184.6554178249,-58450.1477437096
494971.892739758,167912.822177933,70970.1340426489,14489.4148106327
427540.441457547,407195.788321001,-67447.9572956963,-82711.4415541698
431459.796367873,388128.308710028,-41268.4076432845,-94721.2874408755
333876.568973465,410502.832067323,-2173.55517715141,-86182.9408981866
396408.792329845,387939.041575245,-70822.7053176011,-82919.7301517841
255406.399289308,467489.217148414,108865.435793477,-30000.1383529478
531574.737467786,292216.966082071,54208.0900073761,-1253.38820159447
400823.836707255,391312.00361771,28268.4281218362,28980.9871132538
